Average Speed-up: 98.96%
Average Speed-up Factor: 107.20x

Hydrograph H72: Ground Truth = 81.00s, AI Model = 1.42s, Speed-up = 98.25%, Speed-up Factor = 57.04x
Hydrograph H73: Ground Truth = 81.03s, AI Model = 0.64s, Speed-up = 99.21%, Speed-up Factor = 126.61x
Hydrograph H74: Ground Truth = 91.14s, AI Model = 0.97s, Speed-up = 98.94%, Speed-up Factor = 93.96x
Hydrograph H75: Ground Truth = 76.05s, AI Model = 1.28s, Speed-up = 98.32%, Speed-up Factor = 59.41x
Hydrograph H76: Ground Truth = 75.94s, AI Model = 0.96s, Speed-up = 98.74%, Speed-up Factor = 79.10x
Hydrograph H77: Ground Truth = 75.86s, AI Model = 0.98s, Speed-up = 98.71%, Speed-up Factor = 77.41x
Hydrograph H78: Ground Truth = 70.86s, AI Model = 1.04s, Speed-up = 98.53%, Speed-up Factor = 68.13x
Hydrograph H79: Ground Truth = 75.87s, AI Model = 0.65s, Speed-up = 99.14%, Speed-up Factor = 116.72x
Hydrograph H80: Ground Truth = 80.84s, AI Model = 1.41s, Speed-up = 98.26%, Speed-up Factor = 57.33x
Hydrograph H81: Ground Truth = 80.89s, AI Model = 1.06s, Speed-up = 98.69%, Speed-up Factor = 76.31x
Hydrograph H82: Ground Truth = 80.91s, AI Model = 0.98s, Speed-up = 98.79%, Speed-up Factor = 82.56x
Hydrograph H83: Ground Truth = 80.93s, AI Model = 1.29s, Speed-up = 98.41%, Speed-up Factor = 62.74x
Hydrograph H84: Ground Truth = 80.91s, AI Model = 1.07s, Speed-up = 98.68%, Speed-up Factor = 75.62x
Hydrograph H85: Ground Truth = 81.05s, AI Model = 0.85s, Speed-up = 98.95%, Speed-up Factor = 95.35x
Hydrograph H86: Ground Truth = 81.12s, AI Model = 0.86s, Speed-up = 98.94%, Speed-up Factor = 94.33x
Hydrograph H87: Ground Truth = 91.16s, AI Model = 1.06s, Speed-up = 98.84%, Speed-up Factor = 86.00x
Hydrograph H88: Ground Truth = 81.22s, AI Model = 0.87s, Speed-up = 98.93%, Speed-up Factor = 93.36x
Hydrograph H89: Ground Truth = 75.86s, AI Model = 0.94s, Speed-up = 98.76%, Speed-up Factor = 80.70x
Hydrograph H90: Ground Truth = 75.90s, AI Model = 1.33s, Speed-up = 98.25%, Speed-up Factor = 57.07x
Hydrograph H91: Ground Truth = 75.91s, AI Model = 0.85s, Speed-up = 98.88%, Speed-up Factor = 89.31x
Hydrograph H92: Ground Truth = 70.86s, AI Model = 0.85s, Speed-up = 98.80%, Speed-up Factor = 83.36x
Hydrograph H93: Ground Truth = 75.88s, AI Model = 0.97s, Speed-up = 98.72%, Speed-up Factor = 78.23x
Hydrograph H94: Ground Truth = 80.87s, AI Model = 1.48s, Speed-up = 98.17%, Speed-up Factor = 54.64x
Hydrograph H95: Ground Truth = 96.01s, AI Model = 0.97s, Speed-up = 98.99%, Speed-up Factor = 98.98x
Hydrograph H96: Ground Truth = 91.05s, AI Model = 1.05s, Speed-up = 98.85%, Speed-up Factor = 86.71x
Hydrograph H97: Ground Truth = 86.04s, AI Model = 1.03s, Speed-up = 98.80%, Speed-up Factor = 83.53x
Hydrograph H98: Ground Truth = 81.11s, AI Model = 0.65s, Speed-up = 99.20%, Speed-up Factor = 124.78x
Hydrograph H99: Ground Truth = 81.03s, AI Model = 0.66s, Speed-up = 99.19%, Speed-up Factor = 122.77x
Hydrograph H100: Ground Truth = 85.88s, AI Model = 0.66s, Speed-up = 99.23%, Speed-up Factor = 130.12x
Hydrograph H101: Ground Truth = 91.31s, AI Model = 0.92s, Speed-up = 98.99%, Speed-up Factor = 99.25x
Hydrograph H102: Ground Truth = 86.21s, AI Model = 1.05s, Speed-up = 98.78%, Speed-up Factor = 82.10x
Hydrograph H103: Ground Truth = 96.20s, AI Model = 1.06s, Speed-up = 98.90%, Speed-up Factor = 90.75x
Hydrograph H104: Ground Truth = 86.25s, AI Model = 1.50s, Speed-up = 98.26%, Speed-up Factor = 57.50x
Hydrograph H105: Ground Truth = 86.11s, AI Model = 1.30s, Speed-up = 98.49%, Speed-up Factor = 66.24x
Hydrograph H106: Ground Truth = 96.23s, AI Model = 1.51s, Speed-up = 98.43%, Speed-up Factor = 63.73x
Hydrograph H107: Ground Truth = 86.20s, AI Model = 1.31s, Speed-up = 98.48%, Speed-up Factor = 65.80x
Hydrograph H108: Ground Truth = 96.13s, AI Model = 0.97s, Speed-up = 98.99%, Speed-up Factor = 99.10x
Hydrograph H109: Ground Truth = 86.14s, AI Model = 1.27s, Speed-up = 98.53%, Speed-up Factor = 67.83x
Hydrograph H110: Ground Truth = 91.08s, AI Model = 0.85s, Speed-up = 99.07%, Speed-up Factor = 107.15x
Hydrograph H111: Ground Truth = 86.15s, AI Model = 1.04s, Speed-up = 98.79%, Speed-up Factor = 82.84x
Hydrograph H112: Ground Truth = 80.95s, AI Model = 0.85s, Speed-up = 98.95%, Speed-up Factor = 95.24x
Hydrograph H113: Ground Truth = 80.89s, AI Model = 0.99s, Speed-up = 98.78%, Speed-up Factor = 81.71x
Hydrograph H114: Ground Truth = 85.93s, AI Model = 0.65s, Speed-up = 99.24%, Speed-up Factor = 132.20x
Hydrograph H115: Ground Truth = 80.94s, AI Model = 1.05s, Speed-up = 98.70%, Speed-up Factor = 77.09x
Hydrograph H116: Ground Truth = 85.94s, AI Model = 1.29s, Speed-up = 98.50%, Speed-up Factor = 66.62x
Hydrograph H117: Ground Truth = 75.94s, AI Model = 0.99s, Speed-up = 98.70%, Speed-up Factor = 76.71x
Hydrograph H118: Ground Truth = 70.88s, AI Model = 0.97s, Speed-up = 98.63%, Speed-up Factor = 73.07x
